Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,modularity_class,componentnumber
whosthat,whosthat,,3,3,5,0.459728,0.471292,0,1,3,180,0
aintnobodygottimeforthem,aintnobodygottimeforthem,,3,3,5,0.459728,0.471292,0,1,3,180,0
pokémon,pokémon,,12,65,5,0.462526,0.473741,4820.596138,0.530303,35,131,0
itpros4business,itpros4business,,16,20,5,0.461808,0.473341,5712.89174,0.441667,53,131,0
ways,ways,,8,8,5,0.460399,0.47198,0,1,28,340,0
tiptuesday,tiptuesday,,8,8,5,0.460399,0.47198,0,1,28,340,0
public,public,,19,26,5,0.462649,0.474069,216.646559,0.345029,59,340,0
devops,devops,,1,1,5,0.459687,0.471196,0,0,0,217,0
sellingout,sellingout,,3,3,5,0.459931,0.471452,0,1,3,217,0
libhypocrisy,libhypocrisy,,1,1,5,0.317428,0.321244,0,0,0,22,0
algorithim,algorithim,,2,2,5,0.459708,0.471244,0,1,1,181,0
dialdown,dialdown,,2,2,5,0.459708,0.471244,0,1,1,181,0
genius,genius,,9,16,5,0.460868,0.472364,0,1,36,1,0
ifttt,ifttt,,2,6,5,0.460521,0.471884,0,1,1,217,0
gidss,gidss,,7,14,5,0.461624,0.472908,6.829123,0.952381,20,217,0
gidssusa,gidssusa,,7,14,5,0.461624,0.472908,6.829123,0.952381,20,217,0
canvacreatives,canvacreatives,,2,6,5,0.459708,0.471244,0,1,1,182,0
canva,canva,,2,6,5,0.459708,0.471244,0,1,1,182,0
btfd,btfd,,9,116,5,0.321993,0.326262,0,1,36,262,0
github,github,,9,116,5,0.321993,0.326262,0,1,36,262,0
btcp,btcp,,9,116,5,0.321993,0.326262,0,1,36,262,0
litecoinfam,litecoinfam,,9,116,5,0.321993,0.326262,0,1,36,262,0
ltc,ltc,,18,160,5,0.322342,0.326995,68.127873,0.588235,90,262,0
likeme,likeme,,2,2,6,0.315772,0.31983,0,1,1,320,0
securityaffairs,securityaffairs,,2,4,5,0.459931,0.47142,0,1,1,217,0
lastlaugh,lastlaugh,,4,8,5,0.46046,0.4719,0,1,6,217,0
tottenham,tottenham,,3,3,5,0.459728,0.471292,0,1,3,131,0
instapic,instapic,,5,6,5,0.459769,0.471388,2,0.6,6,131,0
happydance,happydance,,1,1,6,0.315008,0.319012,0,0,0,131,0
organicreach,organicreach,,3,3,5,0.45985,0.471388,10410,0.333333,1,131,0
course,course,,7,9,5,0.460358,0.471908,36.066435,0.47619,10,217,0
napster,napster,,4,5,5,0.460114,0.471612,2.177225,0.666667,4,217,0
flyers,flyers,,10,11,5,0.462773,0.473861,13401.056134,0.355556,16,131,0
highlife,highlife,,2,2,5,0.459728,0.47126,0,1,1,217,0
twitterblades,twitterblades,,6,12,5,0.462444,0.473461,0,1,15,217,0
notinmynametheresamay,notinmynametheresamay,,11,13,5,0.460949,0.472468,7109.973713,0.490909,27,45,0
notinmyname,notinmyname,,4,4,5,0.46044,0.471844,0,1,6,45,0
downingstreet,downingstreet,,4,4,5,0.46044,0.471844,0,1,6,45,0
detox,detox,,5,19,5,0.459931,0.471516,0,1,10,142,0
spirituality,spirituality,,5,19,5,0.459931,0.471516,0,1,10,142,0
rodger,rodger,,5,19,5,0.459931,0.471516,0,1,10,142,0
signthepetition,signthepetition,,2,4,5,0.323645,0.327524,0,1,1,193,0
internetbillofrights,internetbillofrights,,49,722,4,0.469218,0.479941,15984.409028,0.321429,378,193,0
loughton,loughton,,4,4,5,0.459951,0.471492,0,1,6,131,0
webstagram,webstagram,,4,4,5,0.459951,0.471492,0,1,6,131,0
theeconomist,theeconomist,,6,10,5,0.459992,0.471588,9.08658,0.6,9,131,0
cavs,cavs,,3,3,5,0.46228,0.473253,0,1,3,217,0
deathcore,deathcore,,5,65,5,0.459951,0.471516,0,1,10,325,0
aliencore,aliencore,,5,65,5,0.459951,0.471516,0,1,10,325,0
idea,idea,,5,7,5,0.459769,0.471388,0,1,10,262,0
stevescalise,stevescalise,,1,1,5,0.459687,0.471196,0,0,0,217,0
cheers,cheers,,7,7,5,0.462649,0.473661,52.02741,0.52381,11,143,0
planet,planet,,5,60,5,0.318418,0.322435,0,1,10,243,0
forsale,forsale,,6,61,5,0.318428,0.322483,10410,0.666667,10,243,0
top,top,,18,79,4,0.461072,0.472793,7299.040171,0.392157,60,243,0
search,search,,16,72,5,0.461767,0.473277,7878.389354,0.433333,52,243,0
thesocialnetwork2,thesocialnetwork2,,2,8,5,0.459708,0.471244,0,1,1,217,0
artandstudio,artandstudio,,2,2,5,0.459708,0.471244,0,1,1,183,0
artpage,artpage,,2,2,5,0.459708,0.471244,0,1,1,183,0
googletagmanager,googletagmanager,,1,1,5,0.459687,0.471196,0,0,0,217,0
newyorktimes,newyorktimes,,3,10,5,0.461296,0.472476,4.585465,0.666667,2,217,0
vip,vip,,17,87,5,0.463308,0.474509,12555.727108,0.463235,63,217,0
thegentiletruth,thegentiletruth,,6,21,5,0.461767,0.472956,0,1,15,217,0
veryimprovedpeopleent,veryimprovedpeopleent,,6,20,5,0.461767,0.472956,0,1,15,217,0
harvardlampoon,harvardlampoon,,2,2,5,0.45983,0.47134,0,1,1,217,0
neww,neww,,11,54,5,0.463638,0.474573,16.1646,0.836364,46,1,0
reverbnation,reverbnation,,52,175,5,0.46615,0.477775,11395.338438,0.323529,429,45,0
participation,participation,,3,6,5,0.459728,0.471292,0,1,3,243,0
monetized,monetized,,3,5,5,0.459728,0.471292,0,1,3,243,0
wealth,wealth,,9,16,5,0.460786,0.472308,27.940476,0.666667,24,243,0
dumbfks,dumbfks,,3,3,5,0.459728,0.471292,0,1,3,243,0
reaction,reaction,,4,4,5,0.462423,0.473397,0,1,6,217,0
instagramjail,instagramjail,,6,6,5,0.462793,0.473757,0,1,15,217,0
travelwithniko,travelwithniko,,2,3,5,0.459809,0.471324,0,1,1,262,0
thestory,thestory,,1,1,5,0.459687,0.471196,0,0,0,217,0
fbgate,fbgate,,4,4,5,0.462485,0.473445,0,1,6,217,0
irma,irma,,8,10,4,0.461296,0.472625,11.413116,0.785714,22,217,0
nato,nato,,9,9,4,0.461317,0.472673,20818,0.611111,22,262,0
spacebook,spacebook,,5,5,5,0.46267,0.473621,20818,0.4,4,298,0
deleted,deleted,,12,26,5,0.465837,0.476262,218.830068,0.515152,34,217,0
statenisland,statenisland,,18,63,5,0.328412,0.333226,13.037183,0.72549,111,45,0
brooklyn,brooklyn,,36,110,5,0.4623,0.474349,6490.905552,0.490476,309,45,0
florida,florida,,42,158,5,0.466589,0.477815,6168.693371,0.509872,439,45,0
newscommentary,newscommentary,,3,24,4,0.460277,0.471697,0,1,3,217,0
zuckblock,zuckblock,,2,2,5,0.34258,0.351535,0,1,1,217,0
freelancer,freelancer,,11,24,5,0.460236,0.47194,7532.89713,0.381818,21,131,0
selfemployed,selfemployed,,3,3,6,0.321913,0.325793,0,1,3,131,0
survivalist,survivalist,,3,3,6,0.321913,0.325793,0,1,3,131,0
fiverrpro,fiverrpro,,3,3,5,0.322322,0.326147,0,1,3,131,0
graphicdesigns,graphicdesigns,,3,3,5,0.322322,0.326147,0,1,3,131,0
kathycastor,kathycastor,,4,5,5,0.460053,0.47158,2.831413,0.666667,4,217,0
disgust,disgust,,6,6,5,0.461092,0.472428,0,1,15,217,0
kinky,kinky,,6,6,5,0.461092,0.472428,0,1,15,217,0
cats,cats,,22,29,5,0.464383,0.475462,554.236132,0.376623,87,142,0
homemadecraftsbydory,homemadecraftsbydory,,1,3,6,0.31496,0.318972,0,0,0,184,0
etsyseller,etsyseller,,3,5,5,0.459748,0.471308,10410,0.333333,1,184,0
utah,utah,,26,81,5,0.329139,0.334555,55.899568,0.710769,231,45,0
alphas,alphas,,3,4,6,0.317719,0.321477,1.912798,0.666667,2,260,0
mlmsponsoring,mlmsponsoring,,3,6,5,0.46097,0.472268,0,1,3,217,0
howtogetmlmleads,howtogetmlmleads,,3,6,5,0.46097,0.472268,0,1,3,217,0
thug,thug,,2,2,5,0.459708,0.471244,0,1,1,217,0
vinylambush,vinylambush,,3,6,5,0.460094,0.47158,0,1,3,217,0
spotlight,spotlight,,6,13,5,0.464217,0.474822,12.860267,0.866667,13,217,0
senecasome,senecasome,,3,4,5,0.460562,0.471948,0,1,3,217,0
mcflp,mcflp,,3,3,5,0.45987,0.471404,0,1,3,131,0
newjersey,newjersey,,47,228,5,0.463576,0.475678,8726.628761,0.561517,607,45,0
iowa,iowa,,27,73,5,0.32965,0.335229,20877.341017,0.635328,223,45,0
fordfocus,fordfocus,,6,6,5,0.461276,0.472588,0,1,15,185,0
carguides,carguides,,6,6,5,0.461276,0.472588,0,1,15,185,0
